και	in
από	iz
από	od
που	katero
που	kateri
που	katere
που	katerih
που	ki
που	katerega
για	za
κατηγορία	kategorijo
κατηγορία	kategorija
τους	njimi
τους	jih
τους	njih
ήταν	bil
ήταν	bila
ένα	enga
ένα	ena
ένα	en
ένα	eden
ένα	eno
ότι	to
ότι	tisto
μια	enga
μια	ena
μια	en
μια	eden
μια	eno
έχει	ima
θα	will
θα	bo
θα	volja
αλλά	toda
αλλά	ampak
αλλά	vendar
μετά	potem
μετά	po
επίσης	tudi
όπως	kot
είχε	imelo
είχε	imeli
είχε	imel
είχε	imela
δύο	dve
δύο	dva
αυτό	to
αυτό	ta
αυτό	tole
αυτό	tega
αυτό	to
αυτό	tisto
αυτή	ona
όπου	kjerkoli
όπου	kjer
όπου	kje
όταν	kadar
όταν	ko
όταν	kdaj
μέχρι	do
μέχρι	dokler
μία	enga
μία	ena
μία	en
μία	eden
μία	eno
μπορεί	lahko
ομάδα	vod
ομάδα	skupino
ομάδα	skupinsko
ομάδα	skupinski
ομάδα	skupinska
ομάδα	skupina
ομάδα	ekipno
ομάδα	ekipa
ομάδα	team
θέση	položaj
θέση	lega
θέση	stališče
θέση	pozicija
μεταξύ	med
χρόνια	kronična
χρόνια	kronični
χρόνια	kronično
χρόνια	leta
χρόνια	letih
χρόνια	let
πρώτη	prva
πρώτη	prvo
πρώτη	prvi
πρώτη	najprej
πιο	več
πιο	bolj
ένας	enga
ένας	ena
ένας	en
ένας	eden
ένας	eno
πόλη	mestu
πόλη	mesto
πόλη	city
πόλη	mesto
πόλη	mestu
σύνδεσμοι	povezave
μόνο	le
μόνο	samo
έγινε	storjeno
έγινε	končano
έγινε	opravljeno
έγινε	narejeno
πολύ	zelo
κάθε	vsak
κάθε	vsaka
κάθε	vsako
κάθε	vsak
κάθε	vsaka
περιοχή	regiji
περιοχή	regija
περιοχή	območje
περιοχή	površina
περιοχή	področje
αιώνα	stoletje
αθήνα	atene
αθήνα	atenah
περίοδο	obdobje
τότε	potem
όνομα	ime
ελλάδα	grčija
μέρος	delno
μέρος	del
μέρος	plac
μέρος	kraj
σήμερα	danes
μέσα	znotraj
μέσα	notri
πως	kako
μαζί	skupaj
διάρκεια	trajanje
ιστορία	zgodba
ιστορία	zgodbo
ιστορία	zgodovina
ιστορία	zgodovino
πρωτάθλημα	league
πρωτάθλημα	ligo
πρωτάθλημα	liga
πρωτάθλημα	prvenstvo
αργότερα	pozneje
αργότερα	kasneje
νέα	novo
νέα	nov
νέα	novi
νέα	nove
νέα	nova
νέα	novica
νέα	novice
περίπου	glede
περίπου	približno
αυτά	teh
αυτά	te
αυτά	tele
πριν	pred
πριν	preden
πριν	prej
χωρίς	brez
εθνική	nacionalna
εθνική	nacionalno
εθνική	nacionalni
συζήτηση	pogovor
συζήτηση	debata
συζήτηση	razpravo
συζήτηση	razprava
συζήτηση	razprave
συζήτηση	pogovor
συζήτηση	debata
συζήτηση	razprava
αρχείο	arhiv
αρχείο	datoteka
αρχείο	datoteko
πρέπει	mora
φορά	čas
φορά	časa
πάνω	zgoraj
έλληνες	grki
ομάδες	skupine
ομάδες	skupin
ομάδες	skupinami
ομάδες	skupini
ομάδες	ekip
ομάδες	ekipe
ομάδες	moštva
πρώτο	prva
πρώτο	prvo
πρώτο	prvi
πρώτο	najprej
έργο	projekt
έργο	projekta
έργο	dela
έργο	delo
κυρίως	predvsem
κυρίως	pretežno
κυρίως	večinoma
κυρίως	večinoma
κυρίως	največkrat
όχι	ni
όχι	ne
ελληνική	grški
ελληνική	grško
ελληνική	grk
ελληνική	grška
μεγάλη	velika
μεγάλη	veliki
μεγάλη	velike
μεγάλη	velik
υπό	pod
έως	do
έως	dokler
ποδοσφαιριστές	nogometaši
ταινία	film
ταινία	trak
ταινία	kaseta
ταινία	film
άλλα	drugi
άλλα	drugo
άλλα	druga
άλλα	druge
άλλα	drugi
άλλα	drugih
άλλα	druge
τμήμα	oddelek
τμήμα	odsek
τμήμα	poglavje
τμήμα	razdelek
τμήμα	oddelek
σαν	kot
εκεί	tam
ωστόσο	kakorkoli
άλλες	drugi
άλλες	drugo
άλλες	druga
άλλες	druge
τέλος	končno
τέλος	konec
σειρά	serijo
σειρά	serije
σειρά	serija
σειρά	naročila
σειρά	naroči
σειρά	red
σειρά	naročilo
σειρά	vrstica
στοιχεία	elementi
στοιχεία	podatki
εκτός	razen
συνέχεια	kontinuitete
συνέχεια	nadaljevanje
συνέχεια	nadaljevalo
κάτω	dol
κάτω	navzdol
