yang	yang
dan	en
dan	dan
dengan	met
the	het
the	de
untuk	voor
juga	ook
terletak	gesitueerd
terletak	lies
terletak	leugens
indonesia	indonesië
dari	dari
dari	van
dari	uit
dari	vanaf
daerah	district
tahun	jaar
tahun	jaren
tahun	jaar
adalah	zijn
telah	heeft
wilayah	provincie
wilayah	regio
wilayah	gebieden
wilayah	gebiedsdelen
wilayah	grondgebied
wilayah	territorium
lihat	zien
lihat	zie
kawasan	gebied
kawasan	oppervlakte
kawasan	regio
kawasan	streken
luar	buiten
luar	buitenkant
sekolah	scholen
sekolah	school
tidak	niet
komun	commune
bahasa	talen
bahasa	taal
bahasa	taalgebruik
orang	persoon
orang	person
orang	mensen
orang	personen
pautan	link
pautan	koppeling
pautan	links
malaysia	maleisië
daripada	van
daripada	uit
daripada	vanaf
kampung	kampung
kampung	dorpje
kampung	dorp
jabatan	departement
jabatan	afdeling
satu	satu
satu	one
satu	één
satu	een
satu	eén
negara	land
negara	staat
negara	state
negara	landen
mereka	hen
mereka	ze
mereka	zij
kebangsaan	nationaliteit
kebangsaan	nationaal
kebangsaan	nationale
bandar	stad
bandar	stad
bandar	steden
bandar	bandar
imperial	keizerlijk
imperial	keizerlijke
imperial	imperial
lelaki	man
negeri	staat
negeri	state
barat	west
barat	westen
barat	westelijk
barat	barat
barat	western
barat	westelijk
lain	overige
lain	andere
lain	ander
lain	overig
lain	overige
lain	andere
lain	overigen
lain	anderen
lebih	more
lebih	meer
etnik	etnisch
etnik	etniciteit
mempunyai	heeft
mempunyai	heb
mempunyai	hebben
perancis	frans
perancis	fransen
perancis	franse
perancis	frankrijk
akan	will
akan	zal
akan	zullen
nama	naam
nama	namen
perbandaran	township
perbandaran	gemeentelijk
perbandaran	gemeentelijke
boleh	kan
boleh	kunt
boleh	kunnen
filem	films
filem	filmpje
filem	film
filem	film
filem	films
filem	bioscoop
timur	oosten
timur	oost
timur	timur
timur	oostelijk
timur	oostelijke
digunakan	gebruikt
digunakan	gebruikte
dua	dua
dua	twee
dua	two
pertama	eerste
pertama	eerst
perempuan	vrouw
perempuan	woman
perempuan	vrouwtjes
perempuan	vrouwen
perempuan	vrouwen
svg	svg
svg	wmf
india	indisch
india	indiaas
india	indiaan
india	indiase
india	indische
india	india
senarai	lijstje
senarai	lijst
dia	dia
presiden	president
presiden	voorzitter
terbang	fly
terbang	vliegen
terbang	vlieg
terbang	vliegend
terbang	vliegen
terbang	gevlogen
terbang	vloog
terbang	vlogen
dunia	wereld
kerana	want
kerana	omdat
bahawa	dat
laut	zee
selepas	na
selepas	after
selatan	zuidelijk
selatan	selatan
selatan	zuid
selatan	zuiden
stadium	stadions
stadium	stadion
stadium	stadium
tempat	plaats
tempat	plaatsen
besar	large
besar	groot
besar	grote
besar	big
besar	groot
besar	grote
besar	besar
tetapi	maar
antara	antara
antara	tussen
pelajar	studenten
pelajar	leerlingen
pelajar	leerling
pelajar	student
utara	noorden
utara	noord
syarikat	corporatie
syarikat	corporation
syarikat	gezelschap
syarikat	bedrijf
syarikat	onderneming
syarikat	bedrijven
raya	raya
beberapa	meerdere
beberapa	verschillende
beberapa	verscheidene
jumlah	bedragen
jumlah	bedrag
jumlah	totaal
republik	republikeinse
republik	republikein
republik	republikeinen
republik	republiek
kumpulan	groep
kumpulan	fractie
kumpulan	groepen
tentera	militairen
tentera	militair
tentera	militaire
tentera	krijgsmacht
tentera	soldaten
tentera	leger
tentera	landmacht
amerika	amerikaan
amerika	amerikaans
amerika	amerikaanse
amerika	amerika
amerika	amerika
turki	turkije
turki	turks
turki	turken
turki	turkse
turki	turks
baru	nieuw
baru	nieuwe
baru	baru
buah	bessen
buah	vruchten
buah	fruit
buah	vrucht
buah	vruchten
buah	fruit
jawa	java
jawa	javaanse
bawah	bodem
bawah	onderkant
bawah	bottom
bawah	onder
bawah	under
hari	dag
hari	dagje
hari	dagen
hari	days
google	google
pemain	spelers
pemain	speler
pemain	player
melayu	maleis
melayu	melayu
kerajaan	koninkrijk
kerajaan	keizerrijk
kerajaan	rijk
kerajaan	imperium
kerajaan	empire
kerajaan	regering
kerajaan	overheid
sama	sama
sama	gelijk
sama	equal
sama	gelijke
sama	hetzelfde
sama	zelfde
sama	same
iran	iraniërs
iran	iraanse
iran	iran
iran	iraanse
iran	iraans
ahli	lid
ahli	leden
poskod	postcode
kedua	tweede
pasukan	troepen
pasukan	ploegen
pasukan	teams
pasukan	troep
pasukan	troepen
pasukan	team
islam	islamitische
islam	islamitisch
islam	islam
mana	mana
mana	waar
ketua	chef
ketua	chief
ketua	opperhoofd
ketua	voorzitter
masa	tijd
lagu	nummer
lagu	song
lagu	zang
lagu	lied
lagu	liedje
lagu	nummers
lagu	liederen
lagu	songs
lagu	liedjes
style	stijl
style	style
tengah	tengah
tengah	middelste
tengah	middle
tengah	midden
jerman	duits
jerman	duitse
jerman	duitsland
jerman	duitsers
jalan	weg
gmt	gmt
cet	cet
utama	belangrijkste
utama	voornaamste
utama	main
utama	primaire
utama	primair
banyak	veel
banyak	velen
banyak	vele
salah	incorrect
salah	foutief
salah	onjuiste
salah	onjuist
salah	verkeerd
salah	verkeerde
salah	fout
apabila	wanneer
bahagian	divisie
bahagian	afdeling
bahagian	deling
bahagian	division
