par	tungkol
gada	taunang
arī	rin
arī	din
bija	ay
bija	had
bija	nagkaroon
bija	ay
kas	anong
kas	anu
kas	anung
kas	ano
kas	sino
kas	aling
kas	alin
tika	ay
līdz	hanggang
bet	ngunit
bet	pero
latvijas	leton
var	mayo
var	maaaring
var	pwede
var	maari
tiek	pagiging
saites	ties
saites	links
tas	ito
tas	nito
tas	na
tas	yan
dzimis	ipinanganak
dzimis	pinanganak
valsts	bansa
valsts	makabayan
valsts	state
valsts	estado
nav	hinde
nav	hindi
nav	wala
tās	sila
tās	nila
atrodas	matatagpuan
gan	parehong
gan	both
gan	pareho
tikai	lang
tikai	lamang
tikai	lng
tikai	nalang
tikai	basta
latviešu	leton
viņa	kanyang
asv	usa
kad	kapag
kad	kailan
gadu	taon
pilsētas	lungsod
pilsētas	urbano
kur	saan
kur	asan
vieta	lugar
vieta	venue
vieta	lugar
vieta	pook
vieta	kinalalagyan
vieta	lokasyon
vieta	site
kļuva	naging
kara	digmaan
kara	digmaang
iela	kalye
miris	namayapa
miris	namatay
miris	patay
novada	pinalabas
kopā	kabuuang
kopā	kabuuan
kopā	sama
kopā	magkasama
krievijas	russian
krievijas	ruso
attēls	picture
attēls	larawan
attēls	larawan
attēls	imahe
attēls	pigura
attēls	personalidad
attēls	figure
starp	pagitan
pilsēta	bayan
pilsēta	lungsod
pilsēta	siyudad
pilsēta	city
vēlāk	mamaya
viens	isa
viens	one
eiropas	europeo
eiropas	european
taču	ngunit
taču	pero
utc	utc
tomēr	subalit
tomēr	gayunman
tomēr	gayunpaman
kuru	kaninong
ļoti	napaka
vācu	aleman
vēl	parin
viena	isa
viena	one
pagasts	parokya
vairāk	pa
vairāk	pang
daļa	bahagi
daļa	part
daļa	parte
daļa	ibahagi
daļa	share
daļa	ipamahagi
jpg	jpg
rīgā	riga
tad	then
tad	pagkatapos
notika	naganap
notika	nangyari
kuras	aling
kuras	alin
tie	sila
tie	nila
pirms	noon
pirms	dati
pirms	bago
zemes	daigdig
zemes	lupa
zemes	lupain
zemes	lupa
zemes	lupa
zemes	ground
šaha	ahedres
šaha	chess
kura	kaninong
kura	aling
kura	alin
pirmā	unang
pirmā	muna
centrs	center
centrs	sentro
centrs	sentro
centrs	centre
psrs	ussr
kurš	sino
trīs	tatlong
trīs	tatlo
viņu	kanilang
viņu	kaniya
viņu	niya
viņu	siya
viņu	kanya
parasti	kadalasan
parasti	kadalasan
pat	kahit
pat	pat
jūras	marine
http	http
pirmais	unang
pirmais	muna
spēles	games
nosaukums	pangalan
nosaukums	pong
team	team
nekā	kesa
nekā	kaysa
sezonas	seasonal
sezonas	panahon
visu	all
visu	puro
visu	lahat
grupas	grupo
grupas	pangkat
grupas	group
vienu	isa
vienu	one
rīga	riga
rīga	rīga
ieguva	nakuha
ieguva	nanalo
ieguva	panalo
laika	panahon
laika	panahon
laika	oras
laika	time
lielākā	pinakamalaking
gads	taon
skatīt	makita
skatīt	see
skatīt	makakita
skatīt	tingnan
centra	sentro
centra	centre
otrā	pangalawa
padomju	sobyet
krievu	russian
krievu	ruso
krievu	russo
score	score
score	iskor
angļu	tagalog
angļu	ingles
profils	profile
vācijas	aleman
vācijas	germany
vācijas	alemanya
vācijas	mikrobyo
tautas	popular
tautas	sikat
tautas	katutubong
tautas	folk
garums	haba
garums	longitude
daudz	lots
daudz	maraming
daudz	maraming
daudz	marami
daudz	magkano
daudz	marami
divas	dalawang
divas	dalawa
divas	two
komandas	utos
pils	mangarap
pils	kastilyo
pils	palasyo
vietas	spot
vietas	places
latns	latns
longew	longew
reizes	fold
pašlaik	kasalukuyang
romas	rome
romas	roma
sezonā	panahon
novads	munisipalidad
novads	munisipyo
novads	krai
sākumā	initially
grupa	grupo
grupa	pangkat
grupa	group
piedalījās	lumahok
šis	ito
šis	nito
valodā	authentic
valodā	tunay
ūdens	tubig
bieži	karaniwan
bieži	karaniwang
ģints	genus
tiesības	pribilehiyo
tiesības	diba
tiesības	kanang
tiesības	karapatan
tiesības	rights
valoda	wika
valoda	alangan
