strategic	stratégiai
privit	figyelt
privit	néztem
privit	nézte
dennis	dennis
geografia	földrajz
miami	miami
miami	miamiban
lang	lang
bugetul	költségvetés
matthew	matthew
matthew	máté
intervalul	tartomány
intervalul	távolság
intervalul	intervallum
wisconsin	wisconsin
strazile	utcákon
strazile	utcák
sunete	hangok
sunete	hangzik
cablu	kábel
cablu	kábelek
barajul	gátat
barajul	gát
autonom	autonóm
autonom	önálló
lucas	lucas
justin	justin
laurent	laurent
lingvistice	nyelvi
northern	észak
northern	északi
astea	ezek
astea	ezeket
procedura	eljárás
procedura	eljárás
marx	marx
lector	előadó
gandirea	gondolkodás
gandirea	gondolkodik
gandirea	gondolkodom
gandirea	gondolkodó
esential	elengedhetetlen
esential	nélkülözhetetlen
esential	lényeges
esential	alapvető
esential	elengedhetetlen
esential	nélkülözhetetlen
esential	lényeges
esential	alapvető
navarra	navarre
asimov	asimov
carnivore	ragadozók
carnivore	húsevő
repere	kiemeli
repere	tereptárgyak
repere	mérföldkő
repere	mérföldkövek
singapore	szingapúr
interpreta	értelmezni
acoperire	bevonat
acoperire	fedezze
acoperire	címlap
acoperire	fedezni
acoperire	fedő
acoperire	borító
acoperire	lefedettség
wells	wells
pasare	madár
pasare	madár
ocazional	alkalmi
ocazional	alkalmanként
ocazional	esetenként
ocazional	időnként
ocazional	alkalmanként
ocazional	esetenként
dedesubt	alatta
dedesubt	alul
dedesubt	alatt
dedesubt	alatta
dedesubt	alább
dedesubt	lent
atei	ateisták
fundul	feneke
fundul	fenék
stadiul	színpad
stadiul	színpadon
springs	springs
springs	rugó
detaliate	részletesen
detaliate	részletes
detaliate	részletezett
estimat	becsült
derivate	származékok
derivate	származtatott
derivate	származékos
liban	libanon
liban	libanoni
scaune	székek
scaune	székeket
scaune	szék
scaune	ülések
scaune	ülés
béla	béla
regii	királyok
emma	emmával
emma	emma
persana	perzsa
doyle	doyle
efectuarea	készítés
efectuarea	teljesítő
organe	szervei
organe	szervek
organe	orgona
organe	szerv
surori	nővérek
surori	testvérek
goethe	goethe
cazimir	casimir
aug	aug
eforturi	erőfeszítéseket
eforturi	erőfeszítés
eforturi	erőfeszítések
bobby	bobby
ring	gyűrűt
ring	gyűrűvel
ring	ring
ring	gyűrű
ring	gyűrűs
sever	súlyos
sever	sever
faze	szakaszok
pielea	bőre
pielea	bőr
abordare	megközelítése
abordare	megközelítés
vorbind	beszél
vorbind	beszélő
bretagne	bretagne
mina	mina
mina	kezét
mina	kéz
pactului	paktum
cameron	cameron
revistele	magazinok
revistele	magazinokat
decisiv	döntő
decisiv	meghatározó
salbatice	wild
salbatice	vadon
salbatice	vadak
salbatice	vad
definitia	meghatározás
definitia	meghatározása
averea	gazdagság
averea	jólét
averea	vagyon
practicat	gyakorlott
practicat	gyakorolt
tinta	célpont
tinta	cél
tinta	célpont
tinta	cél
comunitatile	közösségek
nenumarate	számtalan
nenumarate	számtalan
vanzare	vásár
vanzare	eladó
vanzare	értékesítés
vanzare	eladás
vanzare	vásár
vanzare	eladó
vanzare	értékesítés
vanzare	eladás
mer	mer
automata	automata
automata	automatikus
refugiati	menekültek
refugiati	menekültek
fereastra	ablak
fereastra	ablakon
fereastra	ablak
fereastra	ablakon
propaganda	propaganda
propaganda	propaganda
dominat	uralta
rebel	felkelő
rebel	lázadók
rebel	lázadó
ccd	ccd
lantul	lánc
uruguay	uruguay
pascal	pascal
iugoslaviei	jugoszlávia
damian	damian
roll	tekercs
roll	gurul
roll	roll
preluarea	átvétel
judecator	judge
judecator	bíró
judecator	judge
judecator	bíró
palermo	palermo
hugh	hugh
termica	termikus
laos	laosz
argumentele	érvek
fir	drót
fir	vezeték
fir	szál
legiunea	légió
chip	csip
chip	chip
prefect	prefektus
localizata	található
triburile	törzsek
mon	mon
lisa	lisa
lisa	liza
platoul	fennsík
pasarile	madarak
pasarile	madarak
arcul	íj
square	square
square	szögletes
square	négyzetes
square	tér
square	négyzet
doc	doki
incet	lassan
call	hívás
call	hívd
cerul	égbolt
cerul	sky
cerul	ég
esentiale	elengedhetetlen
esentiale	nélkülözhetetlen
esentiale	lényeges
esentiale	alapvető
transferul	átvitel
transferul	áthelyezés
transferul	transzfer
creatorul	alkotó
creatorul	teremtő
companiile	vállalatok
companiile	társaságok
companiile	cégek
companiile	vállalkozások
silvia	sylvia
gibson	gibson
viktor	viktor
babes	csajok
babes	csajok
adulti	felnőtt
adulti	felnőtteknek
adulti	felnőttek
adulti	felnőtt
adulti	nagykorú
adulti	felnőtt
adulti	felnőtteknek
adulti	felnőttek
nivele	szintek
nivele	szintek
nivele	szint
estadio	estadio
atribuita	hozzárendelve
atribuita	kijelölt
wood	fa
wood	wood
wood	erdő
wood	fát
abc	abc
geo	geo
coordonatele	koordináták
coordonatele	koordináta
coordonatele	koordinátákat
johan	johan
santos	santos
gif	gif
armament	fegyverzet
armament	fegyverkezés
armament	fegyverzet
credit	hitel
credit	kredit
simfonia	szimfonikus
visul	álmodj
visul	álma
visul	álom
eddie	eddie
intreprinderi	vállalatok
intreprinderi	vállalkozások
intreprinderi	vállalatok
intreprinderi	vállalkozások
mir	mir
entitati	jogalanyok
entitati	szervezetek
pescuit	halászat
pescuit	halászati
pescuit	halászat
pescuit	halászati
pescuit	horgászat
proportie	arányban
opozitia	ellenzéki
opozitia	ellenzék
jorge	jorge
atribuite	hozzárendelve
atribuite	kijelölt
bursa	ösztöndíj
bursa	ösztöndíjat
bursa	ösztöndíj
bursa	ösztöndíjas
bursa	ösztöndíjat
bursa	ösztöndíj
bursa	ösztöndíjas
bursa	ösztöndíjat
etaje	padlót
etaje	padló
reciproc	kölcsönös
extra	extra
avansate	fejlett
avansate	haladó
avansate	előrehaladott
trenuri	vonatok
antena	tál
antena	edény
antena	antenna
antena	antenna
umbra	árnyékok
umbra	árny
umbra	árnyék
umbra	árnyék
umbra	árnyékok
umbra	árny
umbra	árnyék
umbra	árnyék
creuse	creuse
omorat	meggyilkolták
omorat	megölte
omorat	meggyilkolt
omorat	megölt
omorat	megölte
marturii	tanúvallomások
marturii	vallomása
marturii	vallomás
aaron	aaron
aaron	áron
falls	elesik
falls	vízesés
falls	falls
transformare	átalakulás
transformare	átalakítás
academica	akadémiai
promoveaza	előmozdítása
promoveaza	kiemelés
digitale	digitális
abbas	abbas
hcm	hcm
grafic	grafikon
grafic	grafikai
grafic	grafikus
grafic	diagram
antrenori	edzők
antrenori	oktatók
contul	fiók
contul	figyelembe
contul	számla
pedeapsa	szankció
pedeapsa	büntető
pedeapsa	büntetés
pedeapsa	büntetés
pedeapsa	szankció
pedeapsa	büntető
pedeapsa	büntetés
pedeapsa	büntetés
mei	mei
sevilla	sevilla
sevilla	seville
definite	meghatározott
definite	meghatározva
pauza	szünet
pauza	szünet
pauza	törés
pauza	szünet
pauza	törés
pauza	szünet
allan	allan
seminarul	szemináriumon
seminarul	szeminárium
globala	globális
globala	global
torre	torre
conan	conan
brescia	brescia
sarcini	feladatai
sarcini	feladatok
circuitul	áramkör
infrant	legyőzte
infrant	legyőzött
hrusciov	hruscsov
ferrara	ferrara
string	string
julian	julian
mandatului	megbízás
mandatului	megbízatásának
mandatului	felhatalmazás
mandatului	megbízatás
collins	collins
ontario	ontario
valoroase	értékes
valoroase	értékesek
pianist	zongorista
viet	viet
reclama	reklám
reclama	kereskedelmi
reclama	hirdetési
reclama	hirdetések
reclama	hirdetés
reclama	reklám
merite	érdem
merite	érdem
tong	tong
comunicatii	kommunikáció
comunicatii	távközlés
comunicatii	kommunikációs
manga	manga
indo	indo
marketing	marketing
marketing	értékesítés
marketing	forgalmazás
montreal	montreali
ribbentrop	ribbentrop
scade	csökken
scade	csökkenés
ton	tonhal
ton	tone
ton	hangnem
cheia	kulcsfontosságú
cheia	key
cheia	kulcs
romanov	romanov
vidin	vidin
mecanice	mechanikai
mecanice	mechanikus
vrh	vrh
ascunde	elrejteni
ascunde	elrejtése
mobil	mobilos
mobil	mobile
mobil	mobil
sean	sean
schi	síelés
schi	sí
schi	síelés
schi	síelni
fondarea	alapító
depozite	raktárak
depozite	betétek
depozite	betét
fictiv	fiktív
aeroport	reptér
aeroport	repülőtér
talentul	tehetséges
talentul	tehetség
oklahoma	oklahoma
terestra	földi
terestra	földfelszíni
terestra	szárazföldi
permisiunea	engedély
permisiunea	engedélyt
permisiunea	jogosultság
bernhard	bernhard
nepoata	unoka
nepoata	unokája
nepoata	unokahúga
nepoata	unoka
nepoata	unokája
nepoata	unokahúga
batut	megverték
batut	megvert
batut	megverték
batut	megvert
pragul	küszöb
oua	tojást
oua	tojások
oua	tojás
oua	tojást
oua	tojások
oua	tojás
aristotel	arisztotelész
alpha	alpha
alpha	alfa
atlético	atlético
contrar	ellentétes
sprijina	támogatja
tiparita	nyomtatott
tiparita	nyomott
rica	rica
imnul	himnuszt
imnul	himnusz
chirurgie	műtét
chirurgie	sebészet
madison	madison
icoana	ikon
amy	amy
klaus	klaus
adriana	adriana
pasi	lépcső
pasi	lépcsők
pasi	lépések
pasi	lépés
pasi	lépéseket
pasi	lépéseket
pasi	lépések
pasi	léptek
pasi	lépcső
pasi	lépcsők
pasi	lépések
pasi	lépés
pasi	lépéseket
spatial	térbeli
legislatia	jogszabályok
legislatia	jogszabály
legislatia	jogalkotás
butler	butler
butler	inas
butler	komornyik
inutil	értelmetlen
inutil	hasztalan
inutil	haszontalan
rolling	rolling
rolling	forog
rolling	gurul
explicatie	magyarázat
explicatie	magyarázatot
explicatie	magyarázat
explicatie	magyarázatot
ritm	ritmus
hudson	hudson
nori	felhők
edmund	edmund
mercedes	mercedes
mercedes	merci
intelectuali	értelmiségiek
intelectuali	intellektuális
intelectuali	szellemi
proprietari	tulajdonosok
proprietari	tulajdonosai
protejat	védett
ronald	ronald
colective	kollektív
popularitate	népszerűség
gandit	hittem
gandit	gondoltam
gandit	gondolat
homo	homo
homo	buzi
homo	homokos
homo	melegek
homo	meleg
homo	buzi
castle	vár
castle	várban
castle	castle
castle	kastély
droguri	kábítószerek
droguri	gyógyszerek
droguri	drogot
droguri	kábítószer
droguri	drogok
droguri	drog
droguri	drog
droguri	kábítószer
droguri	gyógyszer
droguri	drogok
droguri	drog
executie	kivégzés
executie	végrehajtás
executie	kivitelezés
executie	kivégzés
executie	végrehajtás
executie	kivitelezés
jucand	játszik
jucand	játszom
intervenit	közbelépett
generat	keletkező
generat	generált
generat	keletkezett
succese	sikeres
succese	siker
bratislava	pozsony
damasc	damaszkusz
nuvela	újszerű
nuvela	regény
nuvela	novella
nuvela	novella
morbihan	morbihan
card	kártya
reformei	reformok
reformei	reform
necunoscute	ismeretlenek
necunoscute	ismeretlen
secundara	középfokú
secundara	másodlagos
promis	megígérte
promis	ígéret
promis	ígért
promis	megígértem
rin	rin
rin	rajna
incident	incidens
semnificatia	jelentősége
plecare	indulási
plecare	távozás
plecare	indulás
memorii	emlékiratait
memorii	emlékirat
gandire	gondolkodás
gandire	gondolkodik
gandire	gondolkodom
gandire	gondolkodó
identificate	azonosított
identificate	azonosítva
anatomia	anatómia
farmacie	gyógyszertár
farmacie	gyógyszertárban
farmacie	gyógyszertár
mexican	mexikói
five	öt
five	öten
portrete	portrék
pictate	festett
pictate	festette
pictate	festve
aleksandr	alekszandr
parcuri	parkok
parcuri	parks
pozitiva	pozitívak
pozitiva	pozitív
tiparit	nyomtatott
tiparit	nyomott
sangele	vér
sangele	véres
sangele	blood
marchiz	márki
yemen	jemen
cantand	ének
cantand	éneklés
cantand	énekelni
cantand	énekel
cantand	ének
cantand	éneklés
cantand	énekelni
cantand	énekel
stiluri	styles
protejarea	védelme
protejarea	véd
norvegian	norvégia
norvegian	norvég
impuscat	lőtt
impuscat	lelőtték
impuscat	lövés
impuscat	lőtt
impuscat	lelőtték
impuscat	lövés
salbatica	wild
salbatica	vadon
salbatica	vadak
salbatica	vad
teama	félelem
teama	félelem
statui	szobrok
sambata	szombati
sambata	szombaton
sambata	szombat
sambata	szombati
sambata	szombaton
sambata	szombat
sambata	szombati
sambata	szombaton
sambata	szombat
sambata	szombati
sambata	szombaton
sambata	szombat
profesionisti	profik
profesionisti	szakemberek
profesionisti	profik
profesionisti	szakemberek
irlandez	írek
irlandez	írország
irlandez	ír
consilieri	tanácsadói
consilieri	tanácsadók
consilieri	tanácsadói
consilieri	tanácsadók
consilieri	tanácsadók
bunica	nagymama
bunica	nagyi
bunica	nagyi
bunica	nagymama
bunica	nagymama
bunica	nagyi
bunica	nagymama
lituaniei	litvániában
lituaniei	litvánia
limitate	limited
limitate	limitált
limitate	korlátozott
limitate	korlátolt
pereti	falak
pereti	falakat
pereti	falak
pereti	falakat
sándor	sándor
cosmin	cosmin
perry	perry
sept	szept
distinctie	megkülönböztetés
distinctie	különbséget
cronici	krónikák
rugaciune	ima
rugaciune	imádság
rugaciune	ima
rugaciune	imádság
luther	luther
personalitatea	személyiség
personalitatea	személyisége
personalitatea	egyéniség
atelierul	műhely
cook	cook
cook	főzni
cook	főz
cook	szakács
cook	főzés
blois	blois
abur	gőz
abur	gőzzel
oleg	oleg
respectarea	megfelelés
respectarea	megfelelőség
respectarea	megfeleltetés
vama	vám
vama	vám
interimar	időközi
adult	felnőtt
adult	nagykorú
imparte	osztott
experimental	kísérleti
dir	dir
helsinki	helsinki
julia	julia
julia	júlia
mussolini	mussolini
scooby	scooby
faimos	híres
faimos	híresség
magdalena	magdalena
anastasia	anastasia
studiourile	studios
bat	bat
bat	ütő
bat	denevér
apr	apr
mintea	elme
dmitri	dmitry
dmitri	dmitri
americanii	amerikaiak
alexei	alekszej
sarb	szerb
sarb	szerb
sarb	szerbia
documentul	okmány
documentul	okirat
documentul	dokumentum
baba	baba
baba	baba
medias	medias
medias	medias
preocupat	érintett
preocupat	aggódó
brusc	hirtelen
brusc	hirtelen
japonezi	japán
japonezi	japánok
inspirata	inspirált
paraguay	paraguay
consacrat	megszentelt
jennifer	jennifer
facto	facto
cantal	cantal
izolat	szigetelt
izolat	elkülönített
izolat	elszigetelt
berg	berg
anulat	törölve
anulat	törölt
anulat	lemondás
anulat	lemondta
anulat	törölve
precizeaza	meghatározza
evaluare	besorolás
evaluare	minősítés
evaluare	minősítési
evaluare	elbírálás
evaluare	értékelés
evaluare	értékelés
evaluare	értékelés
evaluare	értékelési
asediu	ostrom
divizat	osztva
divizat	megosztott
divizat	megosztva
divizat	osztott
bergamo	bergamo
taxe	adók
taxe	adó
taxe	díjak
taxe	illetékek
novo	novo
enterprise	vállalkozás
enterprise	enterprise
inamic	ellenség
vehicul	járművel
vehicul	jármű
vehicul	gépjármű
vehicul	járművek
botanica	botanika
botanica	botanikus
botanica	botanika
botanica	botanikus
diferentele	különbségek
diferentele	eltérések
servi	szolgálni
hanul	fogadó
hanul	inn
hanul	szálló
