хищници	درندگان
съмнения	شک
възможна	امکان
възможна	ممکن
джоан	جوآن
джоан	ژان
джоан	جوان
джоан	جون
румънска	رومانیایی
румънска	رومانی
легендите	افسانه
неколкократно	مرتباً
енрике	انریکه
мелбърн	ملبورن
синоним	مترادف
синоним	مترادف
мрамор	مرمر
мрамор	تیله
водопад	آبشار
водопад	ابشار
часовник	کلاک
часовник	ساعت
икономисти	اقتصاددانان
притежание	تسخیر
притежание	تملک
притежание	مالکیت
притежание	تصرف
притежание	مالکیت
обединено	یونایتد
обединено	متحد
послание	پیغام
послание	پیام
пясък	شن
пясък	سند
пясък	ماسه
пясък	شنی
пясък	سندز
вердер	werder
вселена	کائنات
вселена	کیهان
вселена	گیتی
горещо	گرم
горещо	داغ
споразумения	توافقنامه
споразумения	توافقات
смесен	مخلوط
смесен	مختلط
съществени	ضروری
надеждата	امیدی
надеждата	هوپ
надеждата	امیدوارم
надеждата	hope
надеждата	امید
надя	نادیا
надя	نادیا
устав	احکام
устав	اساسنامه
победители	برندگان
гимнастика	ژیمناستیک
предградие	حومه
предградие	حومه
нестор	نستور
тенденции	ترند
тенденции	گرایش
тенденции	روند
тенденции	گرایشها
кратер	دهانه
въглероден	کربن
въглероден	کربنی
залцбург	سالزبورگ
мак	مکینتاش
мак	mac
мак	مک
мак	ماک
киро	کیرو
лауда	لادا
паркър	پارکر
красив	خوشتیپ
логото	لوگو
унищожаване	تخریب
унищожаване	هلاکت
унищожаване	نابودی
унищожаване	خرابی
унищожаване	ویرانی
тувалу	تووالو
изчисления	محاسبات
алис	آلیس
консултант	مشاور
драматични	دراماتیک
познание	دانش
познание	آگاهی
познание	علم
познание	معرفت
скулптури	مجسمه
скулптури	تندیس
трансфер	انتقال
офанзива	تهاجمی
хървати	کرووات
баскетбол	basketball
баскетбол	بسکتبال
бирмингам	بیرمنگام
кралици	کویینز
кралици	کوئینز
взрив	بنگ
взрив	بلاست
взрив	دمیدن
взрив	خروش
взрив	انفجار
взрив	انفجاری
взрив	انفجار
оръдието	کانن
недостатъци	گناهان
недостатъци	خطاهای
недостатъци	کمبودهای
недостатъци	معایب
предложи	پیشکش
предложи	پیشنهاد
предложи	تقدیم
посещения	برسد
посещения	بازدید
бот	ربات
бот	bot
зърно	پستان
зърно	حبوبات
зърно	دانه
зърно	گندم
запаси	انبارها
запаси	سهام
десау	دسائو
здравословни	تندرست
здравословни	سالم
противоречия	تناقض
противоречия	تناقضات
противоречия	مجادله
противоречия	جدال
противоречия	جنجال
съперник	رقیب
съперник	حریفی
съперник	رقیب
съперник	حریف
поетът	poet
поетът	شاعری
поетът	شاعر
съгласието	رضایت
верен	باوفا
верен	وفادار
верен	وفادار
верен	مؤمن
верен	امین
верен	باوفا
руси	بلوند
палубата	ورق
палубата	عرشه
господ	خداوند
господ	خدا
господ	الهی
господ	خدایی
господ	الله
антиохия	انطاکیه
аякс	آژاکس
нервна	مضطرب
нервна	عصبی
скоби	ارتودنسی
скоби	پرانتز
фрази	عبارتهای
тунел	تونلی
тунел	تونل
тунел	کرمچاله
инфекции	عفونت
инфекции	عفونتهای
уолис	والیس
елита	نخبگان
елита	نخبه
изхода	پریز
бройки	قطعه
еквивалент	معادل
експеримент	آزمایش
върхът	تاپر
арабска	عرب
арабска	عربها
арабска	عربی
арабска	تازی
арабска	عربی
арабска	عربستان
ислям	اسلام
риска	خطر
риска	ریسک
замени	جایگزینی
замени	جایگزین
ярко	یکدست
ярко	درخشان
иврит	عبری
иконата	شمایل
иконата	نماد
навътре	باطن
навътре	باطنی
епидемия	شیوع
кореспонденция	مکاتبات
кореспонденция	مکاتبه
крус	کروز
крус	کروس
търпи	تحمل
търпи	مدارا
кристоф	کریستوف
кристоф	کریستف
кристоф	کریستوف
гьоте	گوته
селекция	گزینش
предадени	ارسالی
отпред	جبهه
отпред	جلو
джесика	جسیکا
пътувания	سفرهای
пътувания	سفرها
пътувания	مسافرت
пътувания	travel
пътувания	سفر
пътувания	سفرها
толстой	تولستوی
ибрахим	ابراهیم
постановка	برپایی
плуване	شنا
плуване	شنای
плуване	شنا
плуване	شنای
ъгъла	گوشه
астрономически	نجومی
астрономически	اخترشناسی
свободи	آزادیهای
