של	shel
את	you
על	about
קטגוריה	category
עם	with
גם	also
גם	too
זה	this
זה	that
היא	she
היה	was
שיחה	conversation
שיחה	call
לאחר	after
בין	bean
בין	inter
בין	between
כל	all
כל	any
כי	because
יותר	more
ישראל	israel
אך	but
עד	till
עד	until
יש	yay
שם	there
שם	name
בית	beit
בית	home
בית	house
הם	they
הייתה	was
אשר	asher
אשר	escher
אשר	usher
אשר	which
אשר	confirm
כמו	like
אחד	one
שמאל	left
קישורים	links
חיצוניים	external
הברית	alliance
מספר	number
בו	him
בו	boo
היו	were
רק	only
רק	just
כאשר	when
אותו	him
בן	ben
בן	son
שלו	his
שלו	its
שני	second
שני	shani
שני	two
שני	monday
לו	lew
לו	lou
מה	what
העולם	world
העיר	town
העיר	city
במהלך	during
כן	yes
כן	yeah
שנים	years
אף	nose
אף	eff
רבים	many
רבים	plural
אבל	but
בה	her
אין	none
אביב	aviv
אביב	spring
במאי	may
במאי	director
שנה	year
שנה	years
נולד	born
הערות	notes
הערות	comments
חלק	part
חלק	smooth
לפני	before
אחת	one
ביולי	july
שוליים	margins
שוליים	fringe
שוליים	margin
להיות	being
באוקטובר	october
באוקטובר	oct
בשם	named
אותה	her
החל	began
החל	starting
הרב	herb
ארצות	countries
מן	manna
בינואר	january
במרץ	march
ראש	head
ראש	rush
חיים	life
חיים	chaim
חיים	haim
המאה	century
בנובמבר	november
בדצמבר	december
לי	lee
תל	tel
בבית	home
ערך	value
בפברואר	february
אלו	these
זמן	time
אחר	other
אחר	else
בני	benny
בני	son
בעיקר	mainly
בעיקר	mostly
אתר	website
אתר	site
אתר	ether
ללא	without
שונים	different
שונים	various
רב	rav
אדם	person
אדם	adam
אדם	human
אדם	man
כלל	rule
עוד	more
דבר	thing
דבר	talk
דבר	speak
אחרים	other
אחרים	others
ספר	book
ספר	barber
ספר	tell
נגד	against
לה	her
זכה	won
אחרי	after
הן	they
יום	day
יום	hume
אלה	these
אלה	ella
אלה	goddess
כבר	already
כיום	currently
ירושלים	jerusalem
המדינה	state
מקום	venue
מקום	place
מאוד	very
יהודים	jewish
יהודים	jews
רבות	many
כמה	some
מטר	feet
מטר	meters
מטר	meter
מטר	metres
דרך	via
דרך	through
דרך	way
שנת	year
יכול	could
יכול	can
באמצעות	via
בעלי	husband
יחד	together
בשל	ripe
בשל	due
פרס	reward
פרס	prize
פרס	award
ראו	rao
דוד	dodd
דוד	uncle
דוד	david
בעל	baal
בעל	husband
שלה	her
בנוסף	plus
בנוסף	additionally
תחת	ass
תחת	butt
תחת	under
תמונה	photo
תמונה	image
תמונה	picture
כתב	reporter
כתב	wrote
הקבוצה	group
הערך	value
היום	today
רבי	rabbi
רבי	rebbe
מי	who
למרות	despite
למרות	although
למרות	though
אחרות	others
דה	duh
אותם	them
החברה	society
החברה	company
המלחמה	war
שונות	different
שונות	miscellaneous
הארץ	earth
מערכת	system
תאריך	date
בלבד	only
עבר	past
עבר	moved
אפשר	enable
אפשר	allow
נוסף	added
מרכז	central
מרכז	center
מרכז	centre
שימוש	usage
שימוש	using
שימוש	use
שיש	marble
רוב	most
רוב	rob
רוב	majority
כולל	inclusive
כולל	includes
כולל	including
כולל	included
גדול	large
גדול	big
גדול	great
ישראלים	israeli
ישראלים	israelis
מאז	since
יהודי	jewish
יהודי	jew
סוג	kind
סוג	type
ראשון	sunday
ראשון	rishon
ראשון	first
מידע	info
מידע	information
מידע	data
ערכים	metrics
ערכים	values
ערכים	entries
אנשים	people
