το	os
από	do
από	de
από	da
με	com
που	qual
για	por
για	para
κατηγορία	categoria
τους	eles
ήταν	estava
ήταν	era
ήταν	tava
ήταν	foi
ένα	um
ένα	uma
ένα	one
ότι	essa
ότι	isso
ότι	que
μια	um
μια	uma
μια	one
έχει	tem
θα	will
θα	vontade
αλλά	mas
μετά	então
μετά	depois
μετά	após
μετά	after
μετά	depois
επίσης	igualmente
επίσης	também
όπως	like
όπως	curta
όπως	como
είχε	tive
είχε	tinha
είχε	teve
ενώ	enquanto
δύο	duas
δύο	two
δύο	dois
αυτό	este
αυτό	esta
αυτό	isso
αυτό	isto
αυτό	essa
αυτό	esse
αυτό	essa
αυτό	isso
αυτό	que
αυτή	ela
αυτή	she
όπου	aonde
όπου	onde
όταν	quando
όταν	when
μέχρι	ate
μέχρι	até
μία	um
μία	uma
μία	one
μπορεί	pode
μπορεί	podem
μπορεί	lata
μπορεί	can
ομάδα	squad
ομάδα	pelotão
ομάδα	esquadrão
ομάδα	grupo
ομάδα	agrupar
ομάδα	team
ομάδα	equipa
ομάδα	time
ομάδα	equipe
θέση	posição
μεταξύ	entre
χρόνια	crónicas
χρόνια	crônica
χρόνια	crónica
χρόνια	crônicas
χρόνια	years
χρόνια	anos
πρώτη	primeira
πρώτη	primeiros
πρώτη	primeiramente
πρώτη	primeiro
πιο	mais
πιο	more
ένας	um
ένας	uma
ένας	one
πόλη	vila
πόλη	cidade
πόλη	cidade
σύνδεσμοι	ligações
σύνδεσμοι	links
μόνο	só
μόνο	apenas
μόνο	somente
μόνο	unicamente
έγινε	feito
πολύ	muito
κάθε	cada
κάθε	cada
περιοχή	região
περιοχή	area
περιοχή	área
αιώνα	século
αιώνα	century
αθήνα	atenas
περίοδο	periodo
περίοδο	período
τότε	então
τότε	depois
όνομα	nome
ελλάδα	grécia
μέρος	part
μέρος	parte
μέρος	lugar
μέρος	place
μέρος	local
μέρος	sítio
σήμερα	hj
σήμερα	hoje
μέσα	dentro
μέσα	inside
πως	como
μαζί	juntos
μαζί	juntas
διάρκεια	duração
ιστορία	story
ιστορία	história
ιστορία	historia
ιστορία	história
πρωτάθλημα	league
πρωτάθλημα	liga
πρωτάθλημα	campeonato
πρωτάθλημα	championship
αργότερα	depois
νέα	novo
νέα	novas
νέα	novos
νέα	novidade
νέα	nova
νέα	novidades
νέα	noticias
νέα	notícia
νέα	notícias
περίπου	sobre
περίπου	aproximadamente
αυτά	estes
αυτά	essas
αυτά	estas
αυτά	esses
πριν	antes
χωρίς	sem
εθνική	national
εθνική	nacionais
εθνική	nacional
συζήτηση	conversação
συζήτηση	conversa
συζήτηση	discussão
συζήτηση	discussões
συζήτηση	debate
αρχείο	arquivo
αρχείο	arquivar
αρχείο	arquivo
αρχείο	ficheiro
πρέπει	mosto
πρέπει	deve
πρέπει	must
φορά	hora
φορά	horário
φορά	tempo
φορά	time
έλληνες	gregos
ομάδες	grupos
ομάδες	equipas
ομάδες	equipes
ομάδες	times
πρώτο	primeira
πρώτο	primeiros
πρώτο	primeiramente
πρώτο	primeiro
έργο	project
έργο	projeto
έργο	projecto
έργο	trabalhos
έργο	trabalho
έργο	trabalhar
έργο	trabalhe
κυρίως	principalmente
κυρίως	principalmente
όχι	não
ελληνική	grega
ελληνική	grécia
ελληνική	gregos
ελληνική	grego
μεγάλη	big
μεγάλη	grande
μεγάλη	grandes
υπό	sob
υπό	under
έως	ate
έως	até
ποδοσφαιριστές	futebolistas
ταινία	filme
ταινία	fita
ταινία	cassete
ταινία	película
ταινία	filmes
ταινία	películas
ταινία	filme
άλλα	outro
άλλα	outros
άλλα	outras
άλλα	outra
άλλα	outros
άλλα	outras
τμήμα	departamento
τμήμα	seção
τμήμα	secção
σαν	like
σαν	curta
σαν	como
εκεί	ai
εκεί	ali
εκεί	aí
εκεί	lá
άλλες	outro
άλλες	outros
άλλες	outras
άλλες	outra
τέλος	enfim
τέλος	finalmente
τέλος	end
τέλος	final
τέλος	terminar
τέλος	fim
σειρά	series
σειρά	série
σειρά	séries
σειρά	ordem
σειρά	encomendar
σειρά	encomenda
σειρά	rema
σειρά	fila
σειρά	fileira
σειρά	row
στοιχεία	elementos
στοιχεία	data
στοιχεία	dados
