категория	categoria
что	quins
что	quina
что	quin
что	què
для	per
как	com
как	like
был	fou
его	ell
также	també
это	això
это	aquesta
это	aquest
это	aixo
это	que
после	after
после	després
области	zones
области	àrees
области	àmbits
год	any
было	fou
время	temps
время	time
состав	composició
была	fou
место	spot
место	lloc
место	place
место	localització
место	ubicació
место	emplaçament
были	eren
район	barri
район	districte
район	àmbit
район	àrea
вид	espècies
вид	espècie
вид	vista
вид	visualitza
вид	visualització
под	arres
только	només
только	només
язык	llengua
язык	idioma
язык	llenguatge
язык	llengua
ссср	urss
районе	barri
код	codi
более	més
мая	maig
дата	data
ноября	novembre
деревня	poble
деревня	aldea
где	on
января	gener
марта	marta
марта	martha
марта	març
марта	march
все	everything
все	tot
все	tots
все	totes
все	tothom
августа	agost
августа	augusta
том	tom
октября	octubre
октября	oct
сентября	setembre
статьи	articles
уже	ja
июня	juny
апреля	abril
сша	usa
который	qual
название	nom
название	denominació
название	títol
поселение	assentament
человек	persona
человек	humà
человек	humans
человек	home
человек	man
смерти	defuncions
лет	anys
февраля	febrer
февраля	feb
того	togo
города	ciutat
города	ciutats
может	potser
может	podria
может	can
она	ella
войны	guerres
войны	guerra
можно	can
когда	quan
однако	tanmateix
которые	qual
высота	altitud
высота	alçada
высота	alçària
высота	altura
переписи	cens
переписи	censos
село	seló
село	poble
село	aldea
статья	article
род	rod
один	sola
один	odín
один	odin
один	one
без	sense
реки	riu
реки	rius
между	entre
населения	població
годы	anys
через	via
через	mitjançant
национальный	national
национальный	nacional
область	província
область	regió
область	àmbit
область	àrea
список	llista
сельское	rurals
века	edats
века	segles
официальный	official
часть	part
против	contra
против	against
этот	això
этот	aquesta
этот	aquest
будет	will
будет	voluntat
несколько	diversos
несколько	diverses
несколько	múltiples
несколько	múltiple
город	ciutat
мира	pau
первое	primer
первое	primera
первое	primers
чем	than
части	parts
описание	descripció
всего	total
первый	primer
первый	primera
первый	primers
файл	arxiu
файл	fitxer
карты	cartes
карты	targetes
