dell	dell
explicat	erläuterte
explicat	erklärt
explicat	erklärten
explicat	erläutert
explicat	erklärte
supremă	supreme
supremă	höchster
supremă	oberstes
supremă	obersten
supremă	oberste
supremă	höchste
campbell	campbell
exprimare	ausdrücken
exprimare	ausdruck
exprimare	ausdrücke
concentrare	konzentration
concentrare	konzentrationen
concentrare	zusammenschluß
concentrare	zusammenschluss
guvernatorul	statthalter
guvernatorul	governor
guvernatorul	gouverneur
guvernatorul	generalgouverneur
hărți	karten
hărți	stadtplan
hărți	maps
hărți	landkarten
hărți	landkarte
minerva	minerva
fabricarea	fertigung
fabricarea	herstellung
fabricarea	fertigung
fabricarea	produktion
fabricarea	herstellung
estimată	schätzungsweise
estimată	geschätzte
estimată	geschätzt
estimată	schätzungen
estimată	schätzung
four	four
four	vier
moara	mühlen
moara	mill
moara	mühle
grupurile	arbeitsgruppen
grupurile	gruppen
grupurile	fraktionen
absența	abwesenheit
absența	fehlen
sărbători	ferien
sărbători	urlaub
sărbători	ferien
sărbători	urlaub
sărbători	feiertage
arheologie	archäologie
arheologie	archäologie
băile	badezimmer
băile	toiletten
băile	bäder
băile	bädern
băile	bäder
bord	verwaltungsrat
bord	vorstand
bord	board
bord	verpflegung
bord	aufsichtsrat
armele	waffe
armele	bewaffnung
armele	waffenhandel
armele	waffen
armele	pistolen
armele	gewehre
armele	kanonen
armele	schusswaffen
armele	waffen
știa	wussten
știa	kannte
știa	wusste
știa	wußte
prizonier	gefangener
prizonier	gefangene
prizonier	gefangenen
prizonier	gefangenschaft
prizonier	gefangen
părinte	vater
părinte	vaters
părinte	muttergesellschaft
părinte	eltern
părinte	elternteil
părinte	mutterunternehmen
tribunalul	gerichts
tribunalul	tribunal
tribunalul	gerichtshof
tribunalul	gericht
leu	löwen
leu	löwe
leu	lion
leu	leu
subțire	schmalen
subțire	schlank
subțire	slim
subțire	schmal
subțire	schlanke
subțire	dünn
subțire	dünnen
subțire	dünne
producătorul	hersteller
germain	germain
invers	rückwärts
invers	reverse
invers	umgekehrt
invers	umkehr
invers	umkehren
invers	rückwärts
