категорія	類別
від	來自
від	從
також	還
також	也
про	關於
його	他的
населення	人口
населення	人口
після	後
після	之後
або	要麼
час	時代
час	times
час	時報
час	時光
час	時間
але	但
але	不過
але	但是
області	地區
при	pri
міста	城市
див	見
село	村
село	鄉村
село	村莊
село	村落
село	村子
район	區
район	地區
через	通過
через	經由
через	到期
через	透過
через	通過
села	鄉村
села	村莊
рік	年度
рік	年份
рік	年
відстань	距離
ради	安理會
має	必須
область	面積
область	地區
область	區域
область	區
того	多哥
вони	她們
вони	他們
вони	它們
сайті	網站
сайті	網頁
близько	關閉
близько	近
близько	靠近
близько	附近
війни	戰爭
файл	文件
файл	檔案
роки	歲月
роки	年份
обговорення	討論
обговорення	討論
коли	當
вона	她
лише	只
лише	只有
список	名單
список	清單
список	列表
вересня	九月份
вересня	九月
цей	這
цей	這個
березня	三月
місце	spot
місце	斑點
місце	地方
місце	地點
місце	所在地
місце	位置
місце	地點
місце	座位
муніципалітет	市
україні	烏克蘭
серпня	八月
серпня	八月份
січня	一月
травня	may
травня	梅
травня	五月份
травня	五月
грудня	十二月
інших	其他
інших	其他
жовтня	十月
жовтня	十月份
жовтня	十月
один	一
один	one
один	一個
липня	七月
липня	七月份
участь	參加
участь	參與
участь	參與
участь	參與
вид	善良
вид	魚種
вид	物種
вид	檢視
вид	瀏覽
червня	六月份
червня	六月
місто	城鎮
місто	鎮
місто	城市
місто	市
місто	城
вже	已經
життя	生命
життя	人生
життя	生活
срср	蘇聯
квітня	四月
квітня	四月份
листопада	十一月
лютого	二月
лютого	二月
опис	說明
опис	描述
центр	中心
центр	中心
захід	西邊
захід	西
захід	西方
захід	西部
тільки	只
тільки	只有
франції	法國
століття	世紀
рада	安理會
відстані	距離
схід	東
схід	東部
схід	東方
схід	東區
статті	文章
склад	音節
склад	倉庫
склад	倉儲
міні	mini
міні	迷你
історія	動態
історія	故事
історія	歷史
зображення	影像
зображення	圖片
зображення	照片
зображення	圖片
зображення	影象
зображення	影像
зображення	圖片
зображення	圖片
зображення	像片
зображення	圖畫
зображення	照片
пункти	項目
пункти	點數
пункти	積分
пункти	選項
пункти	條目
код	密碼
код	編碼
код	碼
сайт	網站
сайт	網頁
сайт	網站
сайт	工地
разом	在一起
разом	一起
інші	其他
інші	其他
тут	這裡
мова	語言
мова	語
мова	語文
історії	故事
історії	動態
історії	歷史
всі	全部
всі	所有
всі	all
багато	許多
більше	更大
більше	較大
більше	多
більше	更多
більше	更
кількість	數
кількість	伯爵
кількість	數數
кількість	計數
кількість	數字
кількість	數
кількість	號碼
кількість	編號
кількість	數量
кількість	量
шаблони	樣板
шаблони	模板
шаблони	格局
шаблони	模式
дуже	非常
два	兩
два	兩個
два	二
перший	首先
перший	第一
площа	plaza
площа	廣場
площа	正方形
площа	平方
площа	方塊
площа	方形
площа	廣場
площа	面積
площа	地區
площа	區域
площа	區
країни	國家
країни	國家
країни	各國
назва	名字
назва	名稱
назва	姓名
назва	標題
розташований	位於
голова	頭
голова	頭部
голова	主席
народився	生於
народився	誕生
народився	出生
народився	天生
щодо	關於
той	那個
росії	俄
росії	俄國
