din	no
care	kas
care	pvo
care	kurš
care	kas
care	kuras
care	kura
fost	bijis
fost	bijusi
mai	mai
mai	vairāk
mai	vairak
pentru	par
pentru	priekš
pentru	for
lui	lui
lui	viņa
sunt	ir
sit	vietne
sit	vieta
dupa	pēc
dupa	pēc
ale	ale
lea	lea
prin	caur
prin	cauri
regiunea	reģions
mare	liels
mare	liela
mare	lieliska
mare	lieliski
mare	liels
mare	lielais
mare	lieli
mare	liela
mare	lielā
mare	jūra
anul	gadu
anul	gads
comuna	kopējo
comuna	bieži
comuna	novads
comuna	pašvaldība
comuna	kopējo
comuna	bieži
externe	ārējais
externe	ārējs
externe	ārējā
locuitori	iedzīvotāji
locuitori	rezidenti
locuitori	iedzīvotāji
legaturi	saites
legaturi	links
legaturi	savienojumi
legaturi	saites
legaturi	links
vezi	redz
vezi	skatīt
dar	bet
dar	taču
cod	kods
cod	mencu
cod	menca
cod	mencas
cod	cod
populatie	populācija
populatie	iedzīvotāji
bucuresti	bukarestē
bucuresti	bukarestes
bucuresti	bucuresti
bucuresti	bukarestē
bucuresti	bukarestes
bucuresti	bukarestē
bucuresti	bukarestes
fiind	tiek
romania	rumānija
romania	rumānija
jpg	jpg
lista	sarakstu
lista	saraksta
lista	uzskaitījums
lista	saraksts
lista	sarakstu
lista	saraksta
lista	uzskaitījums
lista	saraksts
ucraina	ukraina
nume	vārds
nume	nosaukums
ani	ani
ani	gadus
ani	gadi
ani	gadiem
avea	bija
intre	starp
intre	starp
pana	līdz
pana	spalvu
pana	spalva
poate	varbūt
poate	varbūt
doua	divas
doua	divus
doua	divi
doua	divas
doua	divus
doua	divi
rege	king
rege	karalis
rege	ķēniņš
sub	zem
alte	pārējie
alte	citi
alte	cits
alte	citādi
alte	citas
cand	kad
cand	kad
regiune	reģions
anii	gadus
anii	gadi
anii	gadiem
parte	daļa
judetul	apriņķis
judetul	apgabals
judetul	apriņķis
judetul	apgabals
centura	josta
centura	jostu
centura	josta
centura	jostu
dinastia	dinastija
septembrie	septembris
septembrie	septembrī
septembrie	septembri
timp	laiks
