барабани	тапани
наведення	лебдење
наведення	лебди
палата	комората
палата	комора
палата	одаја
знищені	уништен
знищені	уништени
знищені	уништено
знищені	уништена
симфонія	симфонија
цікавий	интересни
цікавий	интересно
цікавий	интересна
цікавий	интересен
трагедія	трагична
трагедія	трагичен
трагедія	трагично
трагедія	трагедија
бачили	видена
бачили	видено
бачили	видени
бачили	видел
бачили	виден
пацієнтів	пациенти
маргарита	маргарет
маргарита	маргарита
творець	создавач
творець	создателот
творець	креатор
творець	творец
творець	творецот
вигнання	прогон
вигнання	прогонство
вигнання	егзил
докази	докази
докази	докази
побачили	пила
побачили	видов
побачили	виде
ендр	ендр
священики	свештеници
священики	попови
священики	свештенство
священики	свештенството
закрита	затвори
закрита	затворен
закрита	затворена
закрита	затворени
закрита	затворено
кейт	кате
кейт	кејт
кейт	kate
складність	потешкотии
складність	сложеност
складність	тешкотија
складність	комплексност
складність	комплексноста
марс	марс
бтр	бтр
зеландія	зеланд
промінь	зрак
промінь	бим
промінь	греда
зима	зима
вирішувати	одлучува
вирішувати	одлучи
гельсінкі	хелсинки
гельсінкі	хелсиншки
біографічний	биографски
душ	туширање
душ	туш
душ	души
душ	душите
литві	литванија
вагітності	бремена
вагітності	трудна
вагітності	бремени
професійні	професионална
професійні	професионален
професійні	професионални
професійні	професионално
професійні	professional
професійні	професионалец
спільне	заедничка
спільне	заеднички
спільне	џоинт
спільне	здружени
спільне	обичен
спільне	заедничка
спільне	заеднички
спільне	вообичаено
спільне	општо
можлива	можно
можлива	можни
можлива	возможно
можлива	можен
ярмарки	саеми
меншин	малцинства
меншин	малцинствата
бондаренко	бондаренко
міцність	снага
міцність	сила
міцність	силата
товщина	ширина
товщина	дебелина
атак	напаѓачи
атак	напаѓачите
атак	хакирање
піч	печка
піч	шпорет
піч	печка
піч	фурна
піч	рерна
пряма	линија
пряма	direct
пряма	директни
пряма	директна
пряма	директен
боки	страни
вказана	посочи
вказана	наведениот
вказана	зададениот
вказана	наведена
вказана	наведено
валюти	валута
валюти	валути
валюти	валути
вагу	тегови
вагу	тежина
випустили	пуштен
випустили	пуштени
випустили	ослободен
відмовилися	напуштено
відмовилися	напуштени
відмовилися	напуштен
відмовилися	напуштена
відмовилися	сестринството
відмовилися	одбиена
відмовилися	одби
відмовилися	одбиено
відмовилися	одбил
відмовилися	одбила
відмовилися	одби
мостів	мостови
зелене	зелен
зелене	зелена
зелене	зелено
зелене	зелени
гнізда	места
гнізда	гнезда
дистриб	дистрибутери
експозиція	изложување
експозиція	изложеност
американців	американците
американців	американци
повстанці	бунтовници
повстанці	бунтовниците
седан	седан
низька	ниско
низька	ниски
низька	ниска
низька	низок
марш	марке
марш	марш
розробники	програмери
розробники	развивачите
лицар	најт
лицар	витез
розвиватися	еволуира
порода	сорта
порода	раса
порода	говеда
порода	стока
порода	добиток
порти	пристаништа
додає	додава
вілсон	вилсон
нав	опседнатост
нав	опсесија
зафіксовано	заклучено
зафіксовано	заклучен
зафіксовано	заклучена
зафіксовано	заклучени
екземплярів	случаи
недавно	неодамна
раптом	ненадејно
раптом	одеднаш
раптом	наеднаш
кравченко	кравченко
ефективно	ефикасно
ефективно	ефективно
ефективно	ефективна
ефективно	ефикасно
ефективно	ефикасен
ефективно	ефикасна
ефективно	ефикасни
потоки	потоци
учасника	членка
учасника	член
