பாஸ்பரஸ்	fosfor
நுண்ணோக்கி	mikroskop
ஐசக்	isak
வாழ்வது	živi
வாழ்வது	living
வாழ்வது	živo
வாழ்வது	živa
வெற்றிபெற்று	osvojen
வெற்றிபெற்று	pobijedio
வெற்றிபெற்று	pobijedila
வெற்றிபெற்று	osvojena
வெற்றிபெற்று	pobjedio
ஓவல்	ovalna
சலாம்	salam
மேலாளராக	rukovodilac
சலுகை	ponuda
ரசாயன	hemijska
ரசாயன	hemikalija
ரசாயன	hemijsko
ரசாயன	hemijski
ஸ்வீடன்	švedska
லாக்	brava
லாக்	log
கரோலினா	karolina
பார்பரா	barbara
செலுத்தப்பட்டது	platila
செலுத்தப்பட்டது	platili
அந்தோனியார்	anthony
ஸ்டாக்ஹோம்	stockholm
புரூணை	brunej
பள்ளிக்கூடம்	škola
ஸ்கோடா	škoda
ஸ்கோடா	škoda
வர்ணம்	slikao
வர்ணம்	pigmenata
வர்ணம்	pigment
ரோஜாக்கள்	roses
மாட்	met
மாட்	matt
சொத்துகள்	imovina
சொத்துகள்	sredstva
சக்	chuck
பூரி	puri
டொனால்ட்	donald
டிரைவ்	drive
டிரைவ்	vozi
ஒதுக்கப்பட்டது	rezervisan
பேட்ரிக்	patrick
பாடுகிறார்	pjeva
பாடுகிறார்	pjevanje
போயர்	boer
டெண்டுல்கர்	tendulkar
தாமிரம்	bakar
கவனத்திற்கு	fyi
கவனத்திற்கு	pažnja
ஆந்தை	sova
அணிந்துரை	foreword
ஜூலியா	julia
ஜூலியா	julija
நீளமாக	sticky
நிணநீர்	limfa
டாமன்	damon
கொன்றார்	ubila
கொன்றார்	ubili
கொன்றார்	ubio
கொன்றார்	ubijena
கொன்றார்	ubijen
கொன்றார்	ubijeni
காளான்	gljiva
போதைப்பொருள்	droga
மதங்கள்	religija
ஓடுகள்	tiles
டெர்	der
ஃபோர்ப்ஸ்	forbs
இயக்கிகள்	vozači
பிலடெல்பியா	philadelphia
ஜெயின்	jain
இரங்கல்	saučešće
கடிகாரங்கள்	posmatra
ராஸ்	ros
ராஸ்	ross
எலுமிச்சை	limun
எலுமிச்சை	lime
மனிதனும்	duša
பதக்கங்களை	medalje
பதக்கங்களை	medalja
ரீட்	trska
ரீட்	reed
ஆனந்தம்	radost
மார்க்கம்	religija
காய்கறி	povrće
முதிர்ச்சி	zrelost
வழங்கவும்	obezbijedi
வழங்கவும்	obezbijediti
ஷேன்	shane
சிட்ரிக்	limunska
குறும்படம்	ikona
சோனியா	sonja
நீரியல்	hidrologija
இலைகளை	polazi
இலைகளை	ostavlja
இலைகளை	lišće
அசுரன்	čudovište
அசுரன்	monster
கிளாரா	clara
தேவாலயத்தில்	piazza
நிழலில்	hladu
நிழலில்	hlad
அரி	ari
அரி	ary
செயல்படுத்துகிறது	obrade
செயல்படுத்துகிறது	obradu
செயல்படுத்துகிறது	obradi
சளி	hladno
கொடூரமான	brutalnih
கொடூரமான	brutalnog
கொடூரமான	brutalni
கொடூரமான	brutalno
கொடூரமான	brutalna
முசோலினி	mussolini
தூதுவர்	ambasador
செக்ஸ்	spol
பாலினம்	spol
குணப்படுத்தும்	liječenje
