gsub	gsub
nikjer	nicaieri
nikjer	nicăieri
nikjer	niciunde
promocijo	promovare
promocijo	promovarea
slabosti	slăbiciuni
slabosti	deficiențe
slabosti	slăbiciunile
device	fecioara
device	fecioară
device	fecioare
device	virgine
device	fecioare
scoreb	scoreb
preprosta	simplu
preprosta	simple
preprosta	simplă
frölunda	frölunda
unija	uniunea
unija	sindicat
unija	uniunii
unija	uniune
sky	cerul
sky	sky
sky	cer
dnevni	daily
dnevni	zilnic
julia	iulia
julia	julia
tanja	tania
tanja	tanya
tanja	tanja
predstavljen	recomandate
predstavljen	prezentat
predstavljen	prezentată
predstavljen	prezentate
beck	beck
obvezno	obligatorie
obvezno	obligatoriu
obvezno	obligatorie
obvezno	obligatorii
obvezno	obligatoriu
obvezno	obligatorie
obvezno	obligatorii
june	june
june	iunie
svobodna	liberă
svobodna	liber
svobodna	liberi
svobodna	free
svobodna	gratuit
jose	jose
jose	josé
kraljico	regină
kraljico	damă
kraljico	regina
kraljico	queen
predniki	stramosii
colin	colin
razmišljanja	gândire
razmišljanja	gândirea
razmišljanja	gândind
nameščena	montat
nameščena	montate
nameščena	instalat
nameščena	instalată
nameščena	instalate
garda	gardian
garda	garda
garda	paznic
garda	garda
ločeni	separat
ločeni	separate
ločeni	divorțat
ločeni	divortat
ločeni	separat
ločeni	separă
ločeni	separată
ločeni	separate
šentvid	šentvid
suzuki	suzuki
dansko	daneză
dansko	danez
dansko	danemarca
osebah	subiecte
veriga	lant
veriga	lanț
veriga	lanțul
hingis	hingis
reaktor	reactorul
reaktor	reactor
cleveland	cleveland
usoda	destiny
usoda	destinul
usoda	destin
usoda	soarta
usoda	soartă
usoda	destin
učinkovita	eficiente
učinkovita	eficienta
učinkovita	eficient
učinkovita	eficientă
učinkovita	eficientă
učinkovita	eficace
učinkovita	eficient
učinkovita	efectivă
vesnina	vesnina
opisana	descrise
opisana	descrisă
opisana	descris
prizadevanja	eforturi
prizadevanja	eforturile
prizadevanja	efort
prizadevanja	efortul
bistvo	esență
bistvo	esenta
nicholas	nicholas
nicholas	nicolae
poljubno	arbitrar
fazo	faza
fazo	fază
izpostavljenosti	expunere
izpostavljenosti	expunerea
izpostavljenosti	expunerile
izpostavljenosti	expuneri
talent	talente
talent	talent
talent	talentul
podrejen	supus
podrejen	supusă
podrejen	subordonat
podrejen	subordonate
podrejen	subordonată
podrejen	subordonat
podrejen	subordonată
podrejen	subordonate
začetnik	începător
začetnik	începătoare
amsterdam	amsterdam
gosti	oaspeti
gosti	musafiri
redir	redir
zelandija	zeelandă
jez	dam
jez	baraj
jez	barajul
party	party
party	petrecere
party	partid
dovoljenja	licențele
dovoljenja	licențe
