botev	ботев
mare	кобила
piktų	светски
draudžiamas	забранено
draudžiamas	забранена
draudžiamas	забранен
draudžiamas	забранени
pamyro	памир
likviduota	ликвидирани
bendrabutis	хостел
bendrabutis	общежитие
amber	амбър
tre	тре
lazerio	лазерно
lazerio	лазер
pokalbiai	разговори
energetika	енергия
energetika	energy
energetika	енергетика
žinant	знаейки
voldemortas	волдемор
grąžinimo	погасяване
grąžinimo	отплата
grąžinimo	възстановяване
grąžinimo	изплащане
bnei	бней
informuoti	информирани
informuoti	информиран
informuoti	информирана
peizažo	пейзажи
peizažo	обстановката
peizažo	пейзаж
bizkit	бизкит
nottingham	нотингам
transformacija	трансформация
transformacija	преобразяване
transformacija	преобразуване
transformacija	трансформира
transformacija	преобразуване
geometrija	геометрията
geometrija	геометрия
geometrija	геометрични
geometrija	геометрична
branduolinis	ядрено
branduolinis	ядрен
branduolinis	ядрена
branduolinis	атомна
branduolinis	ядрени
klinikoje	клиника
klinikoje	клиниката
investuoti	инвестиране
investuoti	инвестира
matrica	матрица
matrica	матрицата
bohemians	бохеми
stavropolio	ставропол
btv	бтв
btv	btv
anastasija	анастасия
semionas	семьон
sapnai	сънища
sapnai	мечтите
sapnai	мечти
kirilica	кирилица
gerina	подобрява
nicola	никола
mechaninis	механична
mechaninis	механично
mechaninis	механични
mechaninis	механичен
mielių	мая
nuosmukis	рецесията
nuosmukis	рецесия
pakrikštytas	кръстен
pakrikštytas	кръстена
pakrikštytas	кръстени
herman	хърман
herman	херман
įkalinimo	затвор
drambliai	слонове
drambliai	слоновете
leonė	леоне
geometrijos	геометрията
geometrijos	геометрия
rokoko	рококо
anglys	въглища
anglys	въглен
irma	ирма
klr	кнр
sirupas	сироп
liaudis	фолк
liaudis	народни
santuokų	браковете
santuokų	бракове
konrad	конрад
che	che
rūkymas	пушенето
rūkymas	пушене
sąmokslo	заговор
sąmokslo	конспирация
pėdomis	стъпките
pėdomis	стъпки
limp	куца
stebėjimai	забележки
stebėjimai	наблюдения
stebėjimai	наблюдение
stebėjimai	наблюдения
tretjakovo	третяковска
nurodymai	инструкция
nurodymai	инструкции
nurodymai	указания
bundesarchiv	bundesarchiv
pieva	ливада
pieva	поляна
pieva	медоу
powell	пауъл
pasaulietinės	светска
pasaulietinės	светски
orlaiviai	вс
orlaiviai	самолети
privatizavimo	приватизацията
privatizavimo	приватизация
įvaizdžio	съвършенството
įvaizdžio	съвършенство
tikslios	точен
tikslios	точна
tikslios	точни
drėkinimo	напояване
mechanizacijos	механизация
genai	гените
genai	гени
bolivaro	боливарска
šieno	сеното
šieno	сено
galingų	могъщи
nissan	нисан
baptiste	батист
baptiste	баптист
xxiii	xxiii
nervai	нервите
nervai	нерви
nėščia	бременна
nėščia	бременни
tostring	tostring
tomė	томе
euras	еврото
euras	евро
tomasz	томаш
atsistatydinimo	оставката
