پِنڈلی	shin
پُنر	altul
پنساری	condimente
پنساری	mirodenii
پنساری	bacan
پنسال	nivelul
پنسال	nivel
پنک	slough
پنک	noroi
پنک	namol
پنک	quagmire
پنک	argila
پنک	lut
پنک	clay
پنکھ	pinion
پنکھ	pana
پنکھ	aripa
پنکھ	wing
پنکھ	aripa
پنکھا	ventilator
پنکھا	fana
پنکھا	fana
پنکھا	fan
پنکھا	ventilator
پنکھا	fana
پنکھا	fana
پنکھا	fan
پنکھی	molie
پنکھی	pasare
پنکھی	pasare
پنکھی	pasarea
پنکھی	bird
پنگ	sarpe
پنگ	sarpe
پنگ	reptile
پنگ	reptila
پنگا	confruntare
پنگا	confruntarea
پنگا	neindemanatic
پنگا	stangace
پنگا	cearta
پِنگا	slaba
پِنگا	slabit
پِنگا	slab
پِنگا	slaba
پِنگا	subtire
پِنگا	subtire
پِنگا	licitatie
پِنگا	tandru
پنگت	tribul
پنگت	trib
پنگت	societatea
پنگت	societate
پنگت	casta
پنگت	companie
پنگت	compania
پنگت	bursa
پِنگل	focul
پِنگل	incendiu
پِنگل	foc
پُنگل	cercel
پنگو	deformat
پنگو	jalnic
پنگو	penibil
پنگو	lame
پنگو	infirm
پُنم	bine
پُنم	buna
پُنم	bun
پُنم	virtuos
پُنم	sfant
پُنم	sfanta
پُنم	sfinte
پِننا	curat
پِننا	curata
پِننا	curata
پِننا	curate
پِننا	clean
پُننا	abuzuri
پُننا	abuz
پُننا	abuzul
پنوَت	indexul
پنوَت	index
پنوَت	indice
پنوَت	indicele
پنہا	larg
پنہا	larga
پِنہاں	secreta
پِنہاں	secret
پِنہاں	secreta
پِنہاں	secrete
پِنہاں	secretul
پِنہاں	ascunsa
پِنہاں	ascuns
پِنہاں	ascunsa
پِنہاں	ascunse
پنہی	papuc
پنہی	papucul
پنہی	pantof
پُنّی	virtuos
پنیا	acvatic
پنیا	acvatice
پنیا	apa
پنیا	apa
پنیاسوت	primavara
پنیاسوت	primavara
پنیاسوت	primavara
